题目内容,题目选项A,题目选项B,题目选项C,题目选项D,题目答案,类型,分值,难度,赛题分类（技术领域）,,,,,,
如何保护网上购物安全？,只有和店家关系好，可以与店家私下进行优惠交易,网上低价的推销广告，如果有需求，可以购买,核实网站资质及网站联系方式的真伪，尽量到知名、权威的网上商城购物,只要商品符合自己所需要的，就要及时购买，以免下架,3,单选,2,2,基础知识,,,,,,
如何防范假冒网站？,登录网站后留意核对所登录的网址与官方公布的网址是否相符,可以通过其他链接来跳转进入要登录的网站,当收到邮件、短信、电话等要求到指定的网页修改密码，要立即按照指示进行，否则会存在风险,只要安装了防护软件，就不怕假冒网站盗取信息 ,1,单选,2,2,基础知识,,,,,,
以下哪些是计算机病毒的特征,繁殖性、破坏性,传染性、潜伏性,隐蔽性、可触发性,细微性、多变性、复杂性,"1,2,3",多选,2,2,基础知识,,,,,,
计算机病毒的传播途径有哪些？,透过U盘/移动硬盘传播,透过电子邮件传播,透过网页传播,透过聊天工具和下载软件传播,"1,2,3,4",多选,2,2,基础知识,,,,,,
WannaCry勒索病毒是通过什么漏洞感染计算机的？,MS17-148漏洞,CNVD-2017-148漏洞,MS17-010漏洞,CNVD-2017-010漏洞,3,单选,2,2,基础知识,,,,,,
WannaCry勒索病毒将用户主机上的重要文件，如：照片、图片、文档、压缩包、音频、视频、可执行程序等几乎所有类型的文件，加密为（）格式,.WNCRY,.m3u8,.txtd,.rar,1,单选,2,2,基础知识,,,,,,
WannaCry利用Windows操作系统哪个端口存在的漏洞进行传播，并具有自我复制、主动传播的特性？,445,3389,22,5161,1,单选,2,2,基础知识,,,,,,
如何防范计算机病毒？,使用外来软盘或其他介质时，只要确认来源是熟人，就可以直接插入使用,做好系统软件、应用软件的备份，并定期进行数据文件备份，供系统恢复用,接收邮件的计算机要与系统用计算机分开；接收网上熟人传送的数据可以直接使用,对刚使用的计算机进行病毒检查，确认无病毒后就可以一直放心使用,2,单选,2,2,基础知识,,,,,,
《中华人民共和国网络安全法》施行时间是？,2016 年 11 月 7 日,2017 年 6 月 1 日,2016 年 12 月 31 日,2017 年 1 月 1 日,2,单选,2,2,法律法规,,,,,,
为了保障网络安全，维护网络空间主权和国家安全、（），保护公民、法人和其他组织的合法权益，促进经济社会信息化健康发展，制定本法。,国家利益,社会公共利益,私人企业利益,国有企事业单位利益,2,单选,2,2,法律法规,,,,,,
《网络安全法》 规定，网络运营者应当制定（）及时处置系统漏洞、计算机病毒、网络攻击、网络侵入等安全风险。,网络安全事件应急预案,网络安全事件补救措施,网络安全事件应急演练方案,网站安全规章制度,1,单选,2,2,法律法规,,,,,,
网络运营者应当为 （）、国家安全机关依法维护国家安全和侦查犯罪的活动提供技术支持和协助,公安机关,网信部门,工信部门,检察院,1,单选,2,2,法律法规,,,,,,
2016年4月19日，习近平总书记在网络安全和信息化工作座谈会上指出，网络空间的竞争，归根结底是____竞争,资金投入,技术,人才,安全制度,3,单选,2,2,法律法规,,,,,,
国家支持网络运营者之间在网络安全信息()、() 、() 和() 等方面进行合作，提高网络运营者的安全保障能力。,审计;转发; 处置; 事故处理,发布; 收集; 分析;事故处理,收集; 分析; 管理; 应急处置,收集; 分析; 通报; 应急处置,4,单选,2,2,法律法规,,,,,,
违反《网络安全法》第二十七条规定，从事危害网络安全的活动，或者 提供专门用于从事危害网络安全活动的程序、 工具，或者为他人从事危害网络安全的活动提供技术支持、广告推广、支付结算等帮助，尚不构成犯罪的，由公安机关没收违法所得，处()日以下拘留，可以并处()以上() 以下罚款。,五日 五万元 五十万元,三日 一万元 十万元,五日 五万元 十万元,十日 五万元 十万元,1,单选,2,2,法律法规,,,,,,
违反本法第二十二条第三款、第四十一条至第四十三条规定，侵害个人 信息依法得到保护的权利的， 由有关主管部门责令改正， 可以根据情节单处或者并处警告、没收违法所得、处违法所得() 以上() 以下罚款，没有违法所得的，处() 以下罚款，对直接负责的主管人员和其他直接责任人员处()以上() 以下罚款；情节严重的，并可以责令暂停相关业务、停业整顿、关闭网站、吊销相关业务许可证或者吊销营业执照。,一倍 十倍 一百万元 一万元 十万元,十倍 一百倍 一百万元 十万元 一百万元,一倍 一百倍 十万元 一百万元 十万元,一倍 十倍 十万元 一万元 十万元,1,单选,2,2,法律法规,,,,,,
国家() 负责统筹协调网络安全工作和相关监督管理工作。,工业和信息化部门,公安部门,网信部门,通讯管理部门,3,单选,2,2,法律法规,,,,,,
关键信息基础设施的运营者采购网络产品和服务， 可能影响() 的，应当通过国家网信部门会同国务院有关部门组织的国家安全审查,国家安全,政府安全,信息安全,网络安全,1,单选,2,2,法律法规,,,,,,
关键信息基础设施的运营者应当自行或者委托网络安全服务机构对其网络的安全性和可能存在的风险()检测评估，并将检测评估情况和改进措施报送相关负责关键信息基础设施安全保护工作的部门,每年至少进行一次,每半年至少进行一次,每两年至少进行一次,每年至少进行两次,1,单选,2,2,法律法规,,,,,,
违反本法第四十四条规定，窃取或者以其他非法方式获取、非法出售或者非法向他人提供个人信息， 尚不构成犯罪的， 由公安机关没收违法所得， 并处违法所得()以上() 以下罚款，没有违法所得的，处()以下罚款,一倍 十倍 一百万元,十倍 一百倍 一百万元,一倍 一百倍 十万元,十倍 一百倍 一百万元,1,单选,2,2,法律法规,,,,,,
建设关键信息基础设施应当确保其具有支持业务稳定、 持续运行的性能，并保证 安全技术措施,同步规划,同步建设,同步投运,同步使用,"1,2,4",多选,2,2,法律法规,,,,,,
国家采取措施，()来源于中华人民共和国境内外的网络安全风险和威胁，保护关键信息基础设施免受攻击、侵入、干扰和破坏，依法惩治网络违法犯罪活动，维护网络空间安全和秩序。,监测,防御,处置,隔离,"1,2,3",多选,2,2,法律法规,,,,,,
下列关于《网络安全法》的说法错误的有,国家规定关键信息基础设施以外的网络运营者必须参与关键信息基础设施保护体系,关键信息基础设施的运营者可自行采购网络产品和服务不通过安全审查,网络运营者应当加强对其用户发布的信息的管理，发现法律、行政法规禁止发布或者传输的信息的，应当立即向上级汇报,国家网信部门应当统筹协调有关部门加强网络安全信息收集、分析和通报工作，按照规定统一发布网络安全监测预警信息,"1,2,3",多选,2,2,法律法规,,,,,,
网络安全事件发生的风险增大时，省级以上人民政府有关部门应当按照 规定的权限和程序， 并根据网络安全风险的特点和可能造成的危害， 采取下列措施?,要求有关部门、机构和人员及时收集、报告有关信息,加强对网络安全风险的监测,组织有关部门、机构和专业人员，对网络安全风险信息进行分析评估,向社会发布网络安全风险预警，发布避免、减轻危害的措施,"1,2,3,4",多选,2,2,法律法规,,,,,,
因网络安全事件，发生突发事件或者生产安全事()等有关法律、行政法规的规定处置。,《中华人民共和国突发事件应对法》,《中华人民共和国安全生产法》,《中华人民共和国网络安全法》,《中华人民共和国应急法》,"1,2",多选,2,2,法律法规,,,,,,
网络安全事件应急预案应当按照事件发生后的()等因素对网络安全事件进行分级，并规定相应的应急处置措施,危害程度,影响范围,事件等级,关注程度,"1,2",多选,2,2,法律法规,,,,,,
国家实行网络安全等级保护制度。网络运营者应当按照网络安全等级保护制度的要求，履行哪些安全保护义务：,制定内部安全管理制度和操作规程，确定网络安全负责人，落实网络安全保护责任,采取防范计算机病毒和网络攻击、网络侵入等危害网络安全行为的技术措施,采取监测、记录网络运行状态、网络安全事件的技术措施，并按照规定留存相关的网络日志不少于六个月,采取数据分类、重要数据备份和加密等措施,"1,2,3,4",多选,2,2,法律法规,,,,,,
网络运营者应当制定网络安全事件应急预案，及时处置（）等安全风险；在发生危害网络安全的事件时，立即启动应急预案，采取相应的补救措施，并按照规定向有关主管部门报告。,计算机病毒,网络攻击 ,网络侵入,系统漏洞,"1,2,3,4",多选,2,2,法律法规,,,,,,
国家推进网络安全社会化服务体系建设，鼓励有关企业、机构开展网络安全（）安全服务。,认证,风险评估,检测,信息安全培训,"1,2,3",多选,2,2,法律法规,,,,,,
任何个人和组织有权对危害网络安全的行为向（）等部门举报。收到举报的部门应当及时依法作出处理；不属于本部门职责的，应当及时移送有权处理的部门。,网信,电信,工信,公安,"1,2,4",多选,2,2,法律法规,,,,,,
微信安全加固，下列哪项是应该避免的？,允许“回复陌生人自动添加为朋友”,取消“允许陌生人查看照片”功能,设置微信独立账号和密码，不共用其他账号和密码,安装杀毒软件，从官网下载正版微信,1,单选,2,2,安全意识,,,,,,
